,componentType,componentProps/sx/maxWidth,id,componentProps/sx/py,componentProps/sx/px,componentProps/sx/borderRadius,componentProps/sx/textAlign,componentProps/sx/width,componentProps/sx/padding,componentProps/sx/bgcolor,componentProps/sx/display,componentProps/sx/justifyContent,componentProps/sx/alignItems,componentProps/sx/boxShadow,componentProps/elevation,componentProps/sx/p,componentProps/sx/height,componentProps/sx/boxSizing,componentProps/sx/marginBottom,componentProps/sx/marginTop,componentProps/sx/margin,componentProps/sx/borderLeft,componentProps/raised,componentProps/sx/border,componentProps/sx/cursor,componentProps/sx/mt,componentProps/sx/minWidth,componentProps/sx/m,componentProps/sx/minHeight,componentProps/sx/borderTop,componentProps/sx/backgroundColor,componentProps/variant,componentProps/sx/marginLeft,componentProps/sx/my,componentProps/sx/color,componentProps/sx/flexDirection,componentProps/sx/gap,componentProps/sx/flexWrap,componentProps/sx/fontFamily,componentProps/sx/fontWeight,componentProps/sx/flexGrow,componentProps/sx/mx,componentProps/sx/pl,componentProps/sx/pt,componentProps/sx/pr,componentProps/sx/mb,componentProps/sx/ml,componentProps/sx/position,componentProps/sx/pb,componentProps/sx/overflowY,componentProps/sx/mr,componentProps/sx/background,componentProps/sx/zIndex,componentProps/dense,componentProps/sx/overflow,componentProps/sx/paddingBottom,componentProps/sx/top,componentProps/sx/right,componentProps/component,componentProps/defaultChecked,componentProps/disabled,componentProps/className,componentProps/checked,componentProps/required,componentProps/size,componentProps/label,componentProps/color,componentProps/sx/fontSize,componentProps/sx/& .MuiSwitch-switchBase/&.Mui-checked/color,componentProps/sx/& .MuiSwitch-switchBase/&.Mui-checked/& + .MuiSwitch-track/backgroundColor,componentProps/sx/textTransform,componentProps/disableElevation,componentProps/align,componentProps/sx/borderColor,componentProps/sx/&:hover/bgcolor,componentProps/fullWidth,componentProps/sx/bgColor,componentProps/sx/marginRight,componentProps/sx/&:hover /bgcolor,componentProps/sx/&:hover /color,componentProps/varaiant,componentProps/sx/dsplay,componentProps/startIcon/key,componentProps/startIcon/ref,componentProps/startIcon/_owner,componentProps/sx/letterSpacing,componentProps/sx/& .MuiButton-startIcon/verticalAlign,componentProps/sx/& .MuiButton-startIcon/mr,componentProps/sx/& .MuiButton-startIcon/mb,componentProps/m,componentProps/sx/&:hover/color,componentProps/sx/paddingTop,componentProps/sx/fontweight,componentProps/sx/alignitems,componentProps/sx/paddingInline,componentProps/sx/paddingBlock,componentProps/varient,componentProps/variat,componentProps/sx/diaplay,componentProps/sx/left,componentProps/sx/textDecoration,componentProps/varaint,componentProps/sx/widh,componentProps/p,componentProps/sx/bottom,componentProps/sx/& .css-1d6wzja-MuiButton-startIcon>*:nth-of-type(1)/fontSize,componentProps/style/width,componentProps/style/height,componentProps/style/textTransform,componentProps/style/fontSize,componentProps/sx/dosplay,componentProps/sx/diaplsy,componentProps/sx/&:hover/backgroundColor,componentProps/mt,componentProps/sx/paddingRight,componentProps/sx/spacing,componentProps/sx/borderBottom,componentProps/sx/wordWrap,componentProps/px,componentProps/height,componentProps/mb,componentProps/sx/borderTopLeftRadius,componentProps/sx/borderBottomLeftRadius,componentProps/completed,componentProps/active,componentProps/error,componentProps/icon,componentProps/fontSize,componentProps/sx/verticalAlign,componentProps/sx/transform,componentProps/fontWeight,componentProps/sx/marginInline,componentProps/sx/stroke,componentProps/sx/strokeWidth,componentProps/sx/opacity,componentProps/ml,componentProps/mr,componentProps/marginRight,componentProps/bgcolor,componentProps/indicator,componentProps/selected,componentProps/textColor,componentProps/value,componentProps/indeterminate,componentProps/edge,componentProps/tabIndex,componentProps/inputProps/aria-labelledby,componentProps/labe,componentProps/name,componentProps/inputProps/aria-label,componentProps/default
0,Card,250px,i_30q6qUlCv-QzQfUHTuJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Card,,sZG-PyDAtIyQfFXVqZuqz,2.0,1.0,40px,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Card,200px,9Njh15X_SHa5I024fSO3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Card,,fjpARa8WeWzoXg1SnoXa5,,,,,400px,20px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Card,,ORxDvoDRg1XHorMBZrO0Q,,,,center,,,#f1f1f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Card,,aKqUh3UZvdju8bLJWY5ld,,,10px,,46rem,,#eab4c6,flex,space-between,center,0 1px 25px 0 rgb(69 90 100 / 8%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Card,,gjaaQmkShqv8Z3kpygfzj,,,10px,,,,,,,,,0.0,1rem 3rem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Card,,MgfeBM6PtUZ-4E7H9mbvY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Card,,fsz8G-wqC16Kvzw-VVpbf,,,,,100%,20px,,,,,,,,100px,border-box,20px,20px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Card,,t9Z0zTtDbMsELpWMyQ5So,,,,,400px,20px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
